AGE,workclass,education_level,EDUCATION-NUM,marital-status,OCCUPATION,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,event_time,random_flag,source_system
20, State-gov, Some-college,10.00%, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States,<=80K,10/12/25,,web
35, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,48, United-States,<=80K,25/04/25,N,web
54, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,<=80K,02/09/23,N,crm
24, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States,<=80K,02-27-2025 10:00:21,,batch
24, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States,<=80K,21/01/25,,batch
20,, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15.00%, United-States,<=80K,,,crm
28, Private, Bachelors,13, Never-married, Prof-specialty,, White, Female,0.0$,0,35.00%,,<=80K,07-13-2024 10:00:21,Y,batch
36, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,47, United-States,<=80K,11/02/26,N,crm
38, Private, Some-college,10, Separated, Machine-op-inspct, Not-in-family, White, Male,0,2258.0k,55, United-States,>80K,20/05/24,,batch
22, Private, HS-grad,9.00%, Never-married, Adm-clerical, Not-in-family, White, Female,0,0.0k,60,,<=80K,25/08/25,Y,app
56,, HS-grad,9,, Machine-op-inspct, Husband, White, Male,0,0,40.00%, United-States,<=80K,,Y,web
24$,, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,<=80K,,,batch
24$, Self-emp-not-inc, Some-college,10, Never-married,, Not-in-family, White,,0,0.0k,75, United-States,<=80K,,Y,batch
22, Private, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=80K,13/04/26,,app
21, Private, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0.0$,0,30, United-States,<=80K,26/08/23,N,crm
42$, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40.00%, United-States,>80K,04-22-2025 10:00:21,Y,web
41$, Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,,55, United-States,<=80K,31/08/23,Y,web
19, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,34095,,20, United-States,,,,app
67, Self-emp-not-inc, Some-college,10, Married-civ-spouse,, Husband, White, Male,0,0,44, United-States,<=80K,07-30-2024 10:00:21,N,app
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0.0$,0,30, United-States,<=80K,11/12/25 10:00,N,app
32, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States,<=80K,16/08/23,Y,crm
46, Private, HS-grad,,, Machine-op-inspct, Own-child, Black, Female,0,,40, United-States,<=80K,17/09/23,,batch
52, Private, HS-grad,9.00%, Never-married, Sales, Not-in-family, White, Female,0.0$,0,36, United-States,<=80K,07/01/25 10:00,,batch
44, Private, Bachelors,13, Divorced,, Unmarried, Black, Male,0.0$,0.0k,40, United-States,<=80K,20/12/23,N,batch
37, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887.0k,40, United-States,>80K,06/06/25 10:00,,web
27$, Self-emp-not-inc, Some-college,10,, Farming-fishing, Husband, White, Male,0.0$,0.0k,50,,<=80K,10-17-2023 10:00:21,Y,app
35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife,, Female,0,0,35, United-States,<=80K,19/02/25,,crm
30, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45,,,25/09/25,,web
64, Local-gov, HS-grad,9, Married-civ-spouse,, Husband,, Male,3137,0,40, United-States,<=80K,25/12/23,Y,web
48, Private, HS-grad,9.00%, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States,>80K,03/04/26,,web
35, Private, 7th-8th,4, Divorced, Tech-support, Unmarried, White, Female,0,0.0k,40, United-States,<=80K,02/07/25 10:00,Y,crm
28, Self-emp-not-inc, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,,45, United-States,<=80K,21/10/24,N,web
63, Self-emp-not-inc, Bachelors,13.00%, Married-civ-spouse, Prof-specialty, Husband,, Male,0,1977.0k,32.00%, China,>80K,12/04/24 10:00,N,web
40, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55.00%, United-States,>80K,31/05/24,N,web
33, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,,40, United-States,<=80K,11/12/25,,web
40, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,,0.0k,50, United-States,>80K,13/03/24,Y,app
25, Private, 7th-8th,4, Never-married, Sales, Other-relative, White, Male,0,0,45.00%, Guatemala,<=80K,,Y,crm
45$, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,,0.0k,38, United-States,,08-16-2023 10:00:21,,batch
30$, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0$,0,40, United-States,>80K,07/04/24,Y,batch
53, Private, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,, United-States,<=80K,24/06/25,N,batch
63, Private, HS-grad,9, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,2105,0,40, Vietnam,<=80K,11/11/23,,crm
27, Local-gov, Some-college,, Married-civ-spouse, Protective-serv, Husband, White, Male,0,,60, United-States,<=80K,14/04/25,Y,batch
31$, Private, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=80K,17/12/23,Y,crm
33, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White,,0,0,60, United-States,<=80K,,,app
39, State-gov, Bachelors,13, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Mexico,>80K,04/05/24,Y,app
42, Self-emp-not-inc, Some-college,10.00%, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0$,0,45, United-States,>80K,12-13-2025 10:00:21,N,app
19$, Private, HS-grad,9,, Other-service, Own-child, Black, Male,0,0,, United-States,<=80K,10/07/24,Y,batch
31, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0.0k,40, United-States,<=80K,08/07/23 10:00,N,crm
53$, Private, HS-grad,9.00%, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=80K,08/12/24,,web
47, Self-emp-not-inc, Some-college,, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States,<=80K,24/02/24,Y,crm
27, Private, Doctorate,16, Never-married, Adm-clerical, Own-child, White, Female,0,0.0k,40.00%, United-States,<=80K,12/05/24 10:00,Y,crm
22, Private, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0.0$,0,40, United-States,<=80K,26/02/24,N,batch
29, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White,,,0,40, United-States,>80K,27/02/25,,web
52$,, HS-grad,9, Widowed, Sales, Unmarried, White, Female,0,1762,40, United-States,<=80K,09/10/24,,crm
32, Private, Assoc-voc,11, Divorced, Craft-repair, Own-child, White, Male,0,0.0k,46, United-States,<=80K,,Y,web
23, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,<=80K,23/02/25,,crm
27, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,,,,<=80K,02/12/26 10:00,,app
53, Private, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,, United-States,<=80K,17/08/24,N,crm
18, Private, HS-grad,9,, Handlers-cleaners, Own-child, White, Male,0,0,20.00%,,<=80K,29/05/25,N,web
41, Private,,13, Separated, Sales,, White, Female,0,0,30, United-States,<=80K,03/07/25,,app
27$, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40,,<=80K,14/06/25,N,web
30, Private, Some-college,10, Divorced,,, White, Male,0,0,40, United-States,<=80K,10/06/25 10:00,Y,batch
41$, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,<=80K,14/03/25,Y,web
21, Private, Some-college,10,, Adm-clerical, Not-in-family, White, Female,0,,30, United-States,<=80K,22/04/25,Y,batch
58, State-gov, HS-grad,9,, Other-service, Unmarried, Black, Female,0.0$,0,40.00%,,<=80K,15/09/24,Y,batch
45, State-gov, Bachelors,13, Divorced, Protective-serv, Not-in-family, White, Female,0,0,, United-States,<=80K,26/10/23,Y,app
40$, Private, 10th,6, Divorced, Transport-moving, Own-child, White,,0,0,40.00%, United-States,<=80K,17/07/25,N,batch
21, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0.0k,40.00%, United-States,<=80K,05/01/25,N,batch
29$, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Other,,0,1590,40.00%, United-States,<=80K,17/01/24,N,app
, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States,<=80K,,N,app
26, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.00%, United-States,<=80K,01-14-2026 10:00:21,N,app
, Private, HS-grad,9.00%,, Handlers-cleaners, Other-relative, White, Female,0,0,40, United-States,<=80K,10-23-2024 10:00:21,,crm
, Private, Bachelors,, Never-married, Tech-support, Own-child, White, Male,,0,40, United-States,<=80K,13/12/24,N,batch
36, Local-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black, Female,0,,40, United-States,<=80K,26/06/24,N,web
22, Federal-gov, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Male,0.0$,,40, United-States,<=80K,08/05/24 10:00,N,crm
37,, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40,,,03-28-2025 10:00:21,N,web
54, Private, Bachelors,13, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<=80K,19/11/24,Y,batch
36,,,9.00%, Divorced, Farming-fishing, Unmarried,, Male,,0,50, United-States,<=80K,07/02/24,N,web
44$, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0$,0,40, United-States,<=80K,21/01/24,N,crm
38, Private, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40.00%, United-States,>80K,27/04/24,N,batch
49, Private, Some-college,10.00%, Divorced, Craft-repair, Not-in-family, White, Female,0.0$,0,40, United-States,<=80K,26/07/25,,app
18, Private, 11th,7.00%, Never-married, Handlers-cleaners, Own-child, White, Male,0.0$,0,12.00%, United-States,<=80K,21/11/23,Y,batch
26, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,48, United-States,<=80K,23/08/25,,app
32, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,, United-States,<=80K,17/05/25,,crm
, State-gov, HS-grad,9, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,<=80K,,Y,crm
40, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,,0.0k,45.00%, United-States,,10/05/24,,app
40, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair,, White, Male,,0,40, United-States,<=80K,09/08/23,N,web
42, State-gov, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,72.00%, India,>80K,10/09/24,,web
30, Private, HS-grad,9,, Sales, Husband, White, Male,0.0$,0,40, United-States,<=80K,15/08/23,Y,app
19, Private, Some-college,10, Never-married,, Own-child, White, Female,0,,20, United-States,<=80K,19/08/24,Y,web
36,, Assoc-acdm,12, Married-civ-spouse,,, White, Male,0,0,60, United-States,>80K,12-17-2023 10:00:21,,batch
31, Private, HS-grad,9, Never-married, Sales,, White, Female,,0,40, United-States,<=80K,09/11/25 10:00,N,batch
50$, Federal-gov, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,<=80K,11-13-2023 10:00:21,Y,app
38, Private, HS-grad,9.00%, Divorced, Craft-repair, Not-in-family, Black, Male,,,,,<=80K,31/12/24,N,batch
35, Private, Some-college,10.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0.0k,50, United-States,>80K,07/01/24,N,web
45$, Private, Bachelors,13,, Prof-specialty, Husband, White,,0,0,40, United-States,>80K,10/09/25,N,batch
29, Private, 10th,6, Separated, Sales, Unmarried, White, Female,0,0,40, United-States,,20/01/25,,crm
41,, Some-college,, Divorced, Craft-repair,, White, Male,0,0,46, United-States,>80K,16/07/24,,app
33, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0.0k,50,,>80K,10-25-2023 10:00:21,,batch
49, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,,0,60, United-States,<=80K,02-13-2024 10:00:21,Y,batch
, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>80K,03/09/24,,crm
49, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv,, Black, Male,15024,0,40,,>80K,30/01/24,,app
27, Private, HS-grad,9, Separated, Machine-op-inspct, Own-child, White, Female,,0.0k,40, United-States,<=80K,24/03/24,,web
47, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,2885,0,32, United-States,<=80K,02-15-2026 10:00:21,Y,app
42, State-gov, Doctorate,16, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,, Italy,>80K,10-25-2025 10:00:21,N,web
30, Private, HS-grad,9,, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,<=80K,06-22-2025 10:00:21,Y,app
37, Local-gov, HS-grad,9, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<=80K,04/10/25,Y,batch
37, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States,<=80K,12/09/23 10:00,N,app
51, Private,,9, Married-spouse-absent, Sales, Not-in-family, Black, Female,0,0,38, United-States,<=80K,06-13-2025 10:00:21,Y,batch
27, Federal-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0.0k,40, United-States,<=80K,17/10/23,Y,batch
53, Private, HS-grad,9, Never-married, Sales, Not-in-family, White,,0,0,40, United-States,<=80K,01/10/26 10:00,Y,app
45$, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40.00%, United-States,<=80K,31/12/23,,web
37, Self-emp-inc, Bachelors,, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0.0k,45, United-States,<=80K,18/06/24,Y,web
54, State-gov, Masters,14, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,0,0,40, India,>80K,16/09/24,,web
47, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0$,0,, United-States,>80K,23/09/23,Y,web
35,,,9, Married-civ-spouse, Other-service, Husband,, Male,0,0,40.00%, Yugoslavia,>80K,14/04/24,N,web
, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=80K,12-22-2023 10:00:21,N,app
28, Local-gov,,10, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,40, Haiti,<=80K,23/10/25,,batch
39,,,13, Married-civ-spouse, Exec-managerial, Wife,, Female,0,0,55, United-States,>80K,28/05/24,N,web
33$, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.00%,,<=80K,17/07/25,Y,crm
34, Private, 11th,7, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Ireland,<=80K,09/04/25,,crm
53$, Private, HS-grad,9, Married-civ-spouse, Transport-moving,, White, Male,0,0,40, United-States,>80K,24/05/24,,app
21, Private, Assoc-acdm,12,, Adm-clerical,, White, Male,0.0$,0,35, United-States,<=80K,12/09/23,Y,crm
31, State-gov, Doctorate,16.00%, Married-civ-spouse, Exec-managerial, Husband, White, Male,,0.0k,55, United-States,>80K,12/08/25 10:00,N,batch
63, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0.0k,45, United-States,<=80K,15/08/23,,batch
21, Self-emp-not-inc,,10, Never-married, Other-service, Own-child,, Male,0,0,, United-States,<=80K,27/10/25,Y,crm
59, Private, HS-grad,, Married-civ-spouse, Craft-repair, Husband,, Male,0,0,40, United-States,>80K,10/05/23 10:00,N,crm
50$, Private, 1st-4th,2, Separated, Prof-specialty, Unmarried, Black, Female,0,,40, United-States,<=80K,29/07/25,Y,app
19, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0.0$,0,30.00%, United-States,<=80K,06/05/24,,app
31$, Private, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,,45, United-States,<=80K,11-30-2024 10:00:21,,batch
23, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,, United-States,<=80K,11/11/23 10:00,Y,web
45, Private, Assoc-voc,11.00%, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,>80K,10-15-2023 10:00:21,,batch
35, Local-gov, Bachelors,, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=80K,02-24-2026 10:00:21,Y,batch
32, Private, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,0.0k,40, United-States,<=80K,08/11/23,N,batch
20, Private, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,60, Mexico,<=80K,09/03/25,Y,web
38, Private,,9.00%, Married-civ-spouse,, Other-relative, White, Male,0,0,40, United-States,>80K,07/07/24,N,web
49, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,, Philippines,,05/08/25,N,web
64, Private, HS-grad,9.00%, Divorced, Machine-op-inspct,, White, Female,0,0,40, United-States,<=80K,28/09/23,,batch
60, Local-gov, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0.0k,20, United-States,<=80K,12/01/26,,crm
25, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50.00%, United-States,<=80K,14/01/24,Y,crm
21, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States,,01/04/25,Y,crm
26, Private, HS-grad,9, Never-married, Priv-house-serv, Other-relative, White, Female,0,1602,15, Mexico,<=80K,02/05/26 10:00,N,web
23$, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States,<=80K,,,web
67, Self-emp-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,48.00%, United-States,>80K,18/04/24,,web
24, Private, HS-grad,9, Divorced,, Unmarried, White,,0,0,30, United-States,<=80K,24/02/25,Y,web
46, Private,,2, Separated, Machine-op-inspct, Own-child, White,,0,0.0k,40, Guatemala,<=80K,,Y,crm
38, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan,<=80K,12/06/24,Y,batch
20, Private, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White, Male,0.0$,0,40.00%, United-States,<=80K,02/11/24 10:00,Y,app
26$, Private,,, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,, United-States,<=80K,11/06/23 10:00,,crm
58$, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0.0k,40.00%, United-States,<=80K,15/09/25,,batch
31, State-gov, Some-college,10.00%, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States,<=80K,,,web
37, State-gov, Assoc-acdm,12, Divorced,,, Black, Male,0,0,38, United-States,,08/10/23,Y,web
45, Private, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,35, United-States,<=80K,08/08/24 10:00,N,web
33, Private, HS-grad,, Never-married, Adm-clerical, Not-in-family, White, Female,0,,50,,<=80K,28/05/25,Y,crm
33, State-gov, Masters,14, Married-civ-spouse, Protective-serv, Husband, Black, Male,0.0$,0,40, United-States,<=80K,25/08/25,Y,batch
35, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family,, Male,0.0$,0,25, United-States,<=80K,11/09/24 10:00,Y,app
60, Self-emp-not-inc, HS-grad,9.00%,, Exec-managerial, Husband, Black, Male,0,0.0k,, United-States,<=80K,09/10/25,N,crm
, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,,0,20, United-States,<=80K,16/12/24,N,batch
38, Private,,6, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0$,0,45, United-States,<=80K,,N,batch
40, Private, Assoc-voc,11, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,<=80K,09/09/23 10:00,Y,crm
40, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,>80K,03/02/24,Y,web
44,, Prof-school,15.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0$,0.0k,70, United-States,>80K,16/08/24,N,app
27, Private, Some-college,10.00%, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,<=80K,02/07/24 10:00,Y,web
34, Self-emp-not-inc,,10, Married-civ-spouse, Craft-repair,, White, Male,0,0.0k,55, United-States,>80K,24/09/23,N,app
49$, Local-gov, Some-college,,, Protective-serv, Husband, White, Male,0,0.0k,40, United-States,<=80K,,Y,crm
37, Private, Some-college,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,>80K,28/05/24,,crm
52, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States,>80K,10-29-2025 10:00:21,Y,crm
46, Private, Some-college,, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0.0k,40, United-States,<=80K,18/11/25,,app
43, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=80K,07-19-2024 10:00:21,Y,app
, Local-gov, Bachelors,13, Divorced, Adm-clerical,, White, Female,99999,,40, United-States,>80K,14/11/23,Y,batch
25, State-gov, Some-college,10, Married-civ-spouse, Other-service, Wife, White,,0,0,15, United-States,<=80K,,N,web
48, Private, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40.00%, United-States,<=80K,01-14-2025 10:00:21,Y,web
36$, Local-gov, Some-college,10.00%,, Protective-serv, Unmarried, White, Male,0,0.0k,55, United-States,<=80K,24/01/25,,crm
37, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,14344,0,40,,>80K,19/02/25,,batch
42, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,>80K,23/08/24,,batch
60, Private,,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0$,0,24, United-States,<=80K,29/01/24,Y,batch
, Self-emp-inc, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55.00%, United-States,>80K,15/01/24,,web
44, Local-gov,,12, Divorced, Tech-support, Not-in-family, Black, Male,0.0$,0,40, United-States,<=80K,21/10/25,,web
32$, Private, 10th,6, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<=80K,11-27-2025 10:00:21,,crm
29, Private, Bachelors,13, Never-married, Adm-clerical, Own-child,, Female,0,0.0k,40, Portugal,<=80K,03-13-2024 10:00:21,Y,crm
42$, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,>80K,19/01/24,N,web
17, Private, 11th,7, Never-married,, Own-child, White, Male,0,0,12.00%, United-States,<=80K,13/11/23,N,batch
41, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,10, United-States,<=80K,19/11/23,N,app
34, Private, Some-college,10, Married-civ-spouse, Exec-managerial,, White, Female,0,1887,40, United-States,>80K,29/07/25,Y,crm
56, Private,,6, Separated, Other-service, Unmarried,, Female,0,0,32, United-States,<=80K,17/01/26,N,app
28, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,<=80K,06-22-2024 10:00:21,N,batch
28, Self-emp-not-inc, 11th,, Never-married, Sales, Own-child, White,,0,0,40, United-States,<=80K,10/10/25,Y,app
19, Private,,,, Transport-moving,, White, Male,0,0,25,,<=80K,04-13-2026 10:00:21,,batch
49, Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband,, Male,0,0,40.00%, United-States,>80K,17/04/25,,web
36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,50, United-States,<=80K,09-26-2024 10:00:21,N,app
25, Private, Some-college,, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0.0k,35, United-States,<=80K,,Y,web
42, Private, Bachelors,, Divorced, Prof-specialty, Not-in-family, White, Male,,0,, United-States,<=80K,03/01/25,Y,crm
47, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband,, Male,0.0$,1977,50, United-States,>80K,23/09/25,,web
26$,,,10, Married-civ-spouse,, Husband, White, Male,0,,40, United-States,,05/02/25,Y,app
35, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,58, United-States,<=80K,19/11/25,N,crm
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,<=80K,11-27-2023 10:00:21,Y,crm
39$, Local-gov, HS-grad,9, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,,0,48,,<=80K,03/04/25,N,web
42, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,,0.0k,35, United-States,>80K,26/02/25,,web
41, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,36, United-States,>80K,11/09/24,Y,web
23, Private, Some-college,10.00%, Divorced,, Own-child, White, Female,0,0,24, United-States,,,N,web
31$, Federal-gov, HS-grad,9, Married-civ-spouse, Tech-support, Husband,, Male,0,0.0k,40, United-States,<=80K,01/01/26,N,web
36, Local-gov, Some-college,10.00%, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,57, United-States,>80K,,,batch
20, Private,,, Never-married,, Unmarried, White, Female,0,0.0k,25, United-States,<=80K,10/12/25,,batch
36, Private, Some-college,10, Never-married, Machine-op-inspct,, White, Male,,0.0k,45, United-States,<=80K,17/11/23,N,app
50, Private, HS-grad,9,, Machine-op-inspct, Husband, White, Male,0,0,50.00%, United-States,>80K,06-24-2024 10:00:21,N,web
37, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<=80K,03/11/25 10:00,N,crm
25, Private,,13,, Farming-fishing, Own-child, White, Male,27828,0,50, United-States,>80K,04/10/24,,app
, Private, Some-college,10,, Other-service, Unmarried, White, Female,0,0,60.00%, United-States,<=80K,07/07/24,Y,app
32, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, United-States,<=80K,15/07/24,N,batch
59, Private, Some-college,10.00%,, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,<=80K,,,crm
29,, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,3411,,45,,<=80K,04/08/24,,app
50, Private, HS-grad,9, Married-civ-spouse,, Husband, Black, Male,0,0,40, United-States,<=80K,03/04/24,N,app
42, Private, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,, United-States,<=80K,06-26-2025 10:00:21,N,web
32,, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,0.0$,0,40.00%, United-States,<=80K,01-31-2025 10:00:21,,web
48,, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,1902,, United-States,>80K,08-27-2023 10:00:21,,crm
